name,Tb (K),a_acc,a_don,a_heavy,a_nC,a_nN,a_nO,logP(o/w),TPSA,Weight
313,378.01001,1,0,5,2,0,1,1.536,9.2299995,114.959
314,290.32001,0,0,4,2,0,0,0.51999998,0,66.049995
315,473.17001,0,0,4,2,0,0,2.5940001,0,281.862
316,328.34,0,0,3,2,0,0,0.49200001,0,60.120003
317,332.31,1,0,4,2,0,1,0.87199998,9.2299995,80.514
318,345.45001,0,0,3,2,0,0,1.955,0,155.966
319,329.26999,1,1,3,2,1,0,-0.45300001,21.940001,43.069
320,467.01001,1,1,4,2,1,1,-0.47999999,29.1,59.068001
321,387.22,0,0,5,2,1,2,0.528,45.82,75.067001
322,430.72,1,1,4,2,0,1,0.046999998,59.029999,78.135002
323,367.51001,0,0,4,2,0,0,1.796,0,94.202003
324,419.07999,0,0,4,2,0,0,1.192,77.599998,94.202003
325,307.79001,0,0,11,3,0,0,3.7114401,0,220.92699
326,243.72,0,0,9,3,0,0,2.4616799,0,150.021
327,245.89999,1,0,10,3,0,1,1.37052,17.07,166.01999
328,260.95999,0,0,10,3,0,0,2.0515201,0,170.02699
329,279.34,0,0,9,3,0,0,1.70368,0,152.03699
330,491.82001,2,0,5,3,2,0,-0.64600003,47.580002,66.062996
331,251.32001,0,0,6,3,0,0,1.7147599,0,96.050995
332,255.27,0,0,8,3,0,0,2.41168,0,134.047
333,298.67001,0,0,8,3,0,0,1.83784,0,134.047
334,350.48001,1,0,4,3,1,0,0.44,23.790001,53.063999
335,368,1,0,5,3,1,1,0.235,26.030001,69.062996
336,366.48001,0,0,5,3,0,0,2.177,0,110.971
337,349.67001,0,0,5,3,0,0,2.28036,0,110.971
338,377.38,0,0,5,3,0,0,1.622,0,110.971
339,356.75,0,0,5,3,0,0,2.0543599,0,110.971
340,423.14999,0,0,7,3,0,0,2.81408,0,181.877
341,432,0,0,7,3,0,0,2.79408,0,181.877
342,427.48001,0,0,7,3,0,0,3.43872,0,181.877
343,451.82001,0,0,7,3,0,0,2.6213601,0,181.877
344,437.35999,0,0,7,3,0,0,3.1033599,0,181.877
345,272.37,0,0,7,3,0,0,2.0638399,0,116.057
346,325.89001,1,0,4,3,0,1,0.70700002,17.07,56.063999
347,386.63,1,1,4,3,0,1,-0.097999997,20.23,56.063999
348,413.92999,2,2,5,3,0,2,0.45699999,37.299999,72.062996
349,435.17001,1,0,5,3,0,2,-0.205,26.299999,72.062996
350,330.97,0,0,4,3,0,0,1.4,0,120.977
351,321.47,0,0,4,3,0,0,1.955,0,120.977
352,343.16,0,0,4,3,0,0,1.712,0,120.977
353,464,0,0,6,3,0,0,3.5083599,0,280.785
354,494.95999,0,0,6,3,0,0,2.691,0,280.785
355,295.79999,0,0,4,3,0,0,1.749,0,76.526001
356,318.20999,0,0,4,3,0,0,1.506,0,76.526001
357,402.97,1,0,6,3,0,2,0.61299998,26.299999,108.52399
358,418.84,0,0,6,3,0,0,2.38836,0,147.43199
359,396.47,0,0,6,3,0,0,2.8903601,0,147.43199
360,430,0,0,6,3,0,0,2.073,0,147.43199
361,267.76999,0,0,4,3,0,0,1.067,0,60.070999
362,375.20001,0,0,4,3,0,0,2.1040001,0,167.97701
363,496.5,2,1,5,3,1,1,-0.82800001,44.02,71.079002
364,457,2,1,5,3,1,1,-0.454,44.02,71.079002
365,342.45999,0,0,5,3,0,0,2.6773601,0,112.987
366,456.76999,1,1,6,3,0,1,0.82499999,20.23,128.98599
367,272.63,0,0,5,3,0,0,1.98992,0,80.076996
368,370.19,1,1,4,3,0,1,0.25799999,20.23,58.079998
369,307.67999,1,0,4,3,0,1,0.31799999,12.53,58.079998
370,308,1,0,4,3,0,1,0.31799999,12.53,58.079998
371,418.67001,2,1,5,3,0,2,-0.72299999,37.299999,74.078995
372,477.73999,3,2,6,3,0,3,-0.287,46.529999,90.077995
373,363.44,1,0,6,3,0,3,0.47099999,35.529999,90.077995
374,367.97,0,0,4,3,0,0,0.93400002,0,74.147003
375,346.92999,0,0,4,3,0,0,1.126,0,74.147003
376,332.56,0,0,4,3,0,0,1.853,0,122.993
377,269.95001,0,0,4,3,0,0,1.36,0,62.086998
378,263.57001,0,0,4,3,0,0,1.2079999,0,62.086998
379,362.64999,0,0,4,3,0,0,2.589,0,169.993
380,326.95999,1,1,4,3,1,0,0.035999998,26.02,57.096001
381,471.17001,1,1,5,3,1,1,-0.139,29.1,73.095001
382,393.42001,0,0,6,3,1,2,0.99000001,45.82,89.094002
383,397.51999,2,1,5,3,0,2,-0.486,29.459999,76.095001
384,315.12,2,0,5,3,0,2,0.236,18.459999,76.095001
385,460.48001,2,2,5,3,0,2,-0.63599998,40.459999,76.095001
386,325.70999,0,0,4,3,0,0,1.888,38.799999,76.163002
387,420.13,0,0,5,3,0,0,1.508,0,108.229
388,432.76999,2,2,5,3,1,1,-0.85799998,46.25,75.111
389,460.72,2,2,5,3,1,1,-0.87800002,46.25,75.111
390,430.63,2,2,5,3,1,1,-0.79500002,32.259998,75.111
391,447.57001,2,2,5,3,1,1,-0.85799998,46.25,75.111
392,433.17001,2,2,5,3,1,1,-0.85799998,46.25,75.111
393,332.25,0,0,12,4,0,0,4.8876801,0,232.93799
394,487.5,0,0,10,4,0,0,5.3607202,0,260.76199
395,271.67001,0,0,12,4,0,0,2.9235201,0,200.02798
396,263.48999,0,0,12,4,0,0,4.0096798,0,200.02798
397,271.51001,0,0,14,4,0,0,3.8513601,0,238.02399
398,273,0,0,14,4,0,0,2.88028,0,238.02399
399,283.45999,0,0,4,4,0,0,0.90200001,0,50.059998
400,459.17001,2,0,6,4,2,0,-0.090000004,47.580002,78.073997
401,492,2,0,6,4,2,0,-0.090000004,47.580002,78.073997
402,474.37,2,0,7,4,0,3,0.20200001,43.369999,98.056999
403,481.01999,2,0,6,4,2,0,0.912,25.780001,80.089996
404,535.78998,2,0,7,4,0,3,-0.266,43.369999,100.073
405,332.57001,0,0,5,4,0,0,2.2850001,0,88.536995
406,391.73999,1,0,5,4,1,0,0.528,23.790001,67.090996
407,477.56,2,0,7,4,1,2,-0.36500001,50.09,99.088997
